rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
235,Herring Gull,exact common name,Larus argentatus,Larus argentatus,Herring Gull,larus-argentatus,,existing upstream,291,Herring Gull,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/herring-gull,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0291,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVHerring_Gull.jpg
236,Lesser Black-backed Gull,exact common name,Larus fuscus,Larus fuscus,Lesser Black-backed Gull,larus-fuscus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLesser_Black-backed_Gull.jpg
237,Glaucous Gull,exact common name,Larus hyperboreus,Larus hyperboreus,Glaucous Gull,larus-hyperboreus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGlaucous_Gull.jpg
238,Black-legged Kittiwake,exact common name,Rissa tridactyla,Rissa tridactyla,Black-legged Kittiwake,rissa-tridactyla,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVKittiwake_Gull.jpg
239,Sabine's Gull,exact common name,Xema sabini,Xema sabini,Sabine's Gull,xema-sabini,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVSabines_Gull.jpg
240,Gull-billed Tern,exact common name,Gelochelidon nilotica,Gelochelidon nilotica,Gull-billed Tern,gelochelidon-nilotica,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeV_Gull-billed_Tern.jpg
241,Caspian Tern,exact common name,Hydroprogne caspia,Hydroprogne caspia,Caspian Tern,hydroprogne-caspia,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCaspian_Tern.jpg
242,Royal Tern,exact common name,Thalasseus maximus,Thalasseus maximus,Royal Tern,thalasseus-maximus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:273_Cayenne_Tern.jpg
243,Sandwich Tern,exact common name,Thalasseus sandvicensis,Thalasseus sandvicensis,Sandwich Tern,thalasseus-sandvicensis,,existing upstream,279,Sandwich Tern,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/sandwich-tern,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0279,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVSandwich_Tern.jpg
244,Common Tern,exact common name,Sterna hirundo,Sterna hirundo,Common Tern,sterna-hirundo,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVCommon_Tern.jpg
245,Forster's Tern,exact common name,Sterna forsteri,Sterna forsteri,Forster's Tern,sterna-forsteri,,needs source,,,,,,,,,,,missing,
246,Least Tern,exact common name,Sternula antillarum,Sternula antillarum,Least Tern,sternula-antillarum,,needs source,,,,,,,,,,,missing,
247,Black Tern,exact common name,Chlidonias niger,Chlidonias niger,Black Tern,chlidonias-niger,,existing upstream,280,Black Tern,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-tern,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0280,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBlack_Tern.jpg
248,Black Skimmer,exact common name,Rynchops niger,Rynchops niger,Black Skimmer,rynchops-niger,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:323_Black_Skimmer_or_Shearwater.jpg
249,Inca Dove,exact common name,Columbina inca,Columbina inca,Inca Dove,columbina-inca,,needs source,,,,,,,,,,,missing,
250,Common Ground-Dove,exact common name,Columbina passerina,Columbina passerina,Common Ground Dove,columbina-passerina,,needs source,,,,,,,,,,,missing,
251,Black-billed Cuckoo,exact common name,Coccyzus erythropthalmus,Coccyzus erythropthalmus,Black-billed Cuckoo,coccyzus-erythropthalmus,,source downloaded - NOT a finished asset,32,Black-billed Cuckoo,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-billed-cuckoo,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0032,unverified - check exact scan,not reviewed,sources/032.jpg,https://media.audubon.org/boa_illustration/plate-32-black-billed-cuckoo.jpg,9e34f7fc327924d28284ce262008ed3fcd5a169c505694a7e900a85b1ad176f8,missing,
252,Groove-billed Ani,exact common name,Crotophaga sulcirostris,Crotophaga sulcirostris,Groove-billed Ani,crotophaga-sulcirostris,,needs source,,,,,,,,,,,missing,
253,Barn Owl,exact common name,Tyto alba,Tyto alba,Barn Owl,tyto-alba,,existing upstream,171,Barn Owl,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/barn-owl,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0171,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIBarn_Owl.jpg
254,Burrowing Owl,exact common name,Athene cunicularia,Athene cunicularia,Burrowing Owl,athene-cunicularia,,needs source,,,,,,,,,,,missing,
255,Long-eared Owl,exact common name,Asio otus,Asio otus,Long-eared Owl,asio-otus,,existing upstream,384,Long-eared Owl,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-throated-bunting,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0384,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:Asio_otus_by_John_Gould.jpg
256,Short-eared Owl,exact common name,Asio flammeus,Asio flammeus,Short-eared Owl,asio-flammeus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIShort-Eared_Owl.jpg
257,Green Kingfisher,exact common name,Chloroceryle americana,Chloroceryle americana,Green Kingfisher,chloroceryle-americana,,needs source,,,,,,,,,,,missing,
258,Red-headed Woodpecker,exact common name,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Red-headed Woodpecker,melanerpes-erythrocephalus,,source downloaded - NOT a finished asset,27,Red headed Woodpecker,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-headed-woodpecker,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0027,unverified - check exact scan,not reviewed,sources/027.jpg,https://media.audubon.org/boa_illustration/plate-27-red-headed-woodpecker.jpg,13cd7d653d0eeeadc16cff7439bbd676234b9999740616f80d3ac402e41fca8c,present,https://commons.wikimedia.org/wiki/File:27_Red_headed_Woodpecker.jpg
259,Acorn Woodpecker,exact common name,Melanerpes formicivorus,Melanerpes formicivorus,Acorn Woodpecker,melanerpes-formicivorus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Color_key_to_North_American_birds_(Page_153)_BHL7583682.jpg
260,Hairy Woodpecker,exact common name,Leuconotopicus villosus,Dryobates villosus,Hairy Woodpecker,leuconotopicus-villosus,,needs source,,,,,,,,,,,missing,
261,Olive-sided Flycatcher,exact common name,Contopus cooperi,Contopus cooperi,Olive-sided Flycatcher,contopus-cooperi,,source downloaded - NOT a finished asset,174,Olive sided Flycatcher,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/olive-sided-flycatcher,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0174,unverified - check exact scan,not reviewed,sources/174.jpg,https://media.audubon.org/boa_illustration/plate-174-olive-sided-flycatcher.jpg,ae028cf477262760609f27082e09c17e5eafb5a7f3091f3b246c45e1e2946709,present,https://commons.wikimedia.org/wiki/File:174_Olive_sided_Flycatcher.jpg
262,Western Wood-Pewee,exact common name,Contopus sordidulus,Contopus sordidulus,Western Wood-Pewee,contopus-sordidulus,,needs source,,,,,,,,,,,missing,
263,Yellow-bellied Flycatcher,exact common name,Empidonax flaviventris,Empidonax flaviventris,Yellow-bellied Flycatcher,empidonax-flaviventris,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Birds_of_New_York_(Plate_68)_(7047586155).jpg
264,Acadian Flycatcher,exact common name,Empidonax virescens,Empidonax virescens,Acadian Flycatcher,empidonax-virescens,,needs source,,,,,,,,,,,missing,
265,Alder Flycatcher,exact common name,Empidonax alnorum,Empidonax alnorum,Alder Flycatcher,empidonax-alnorum,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Birds_of_New_York_(Plate_68)_(7047586155).jpg
266,Willow Flycatcher,exact common name,Empidonax traillii,Empidonax traillii,Willow Flycatcher,empidonax-traillii,,needs source,,,,,,,,,,,missing,
267,Least Flycatcher,exact common name,Empidonax minimus,Empidonax minimus,Least Flycatcher,empidonax-minimus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Birds_of_village_and_field_(Plate_V)_BHL7288727.jpg
268,Western Flycatcher,unresolved,,,,,Resolve Empidonax difficilis/occidentalis model taxonomy before shipping.,taxonomy review,,,,,,,,,,,taxonomy-review,
269,Black Phoebe,exact common name,Sayornis nigricans,Sayornis nigricans,Black Phoebe,sayornis-nigricans,,needs source,,,,,,,,,,,missing,
270,Say's Phoebe,exact common name,Sayornis saya,Sayornis saya,Say's Phoebe,sayornis-saya,,needs source,,,,,,,,,,,missing,
271,Ash-throated Flycatcher,exact common name,Myiarchus cinerascens,Myiarchus cinerascens,Ash-throated Flycatcher,myiarchus-cinerascens,,needs source,,,,,,,,,,,missing,
272,Great Kiskadee,exact common name,Pitangus sulphuratus,Pitangus sulphuratus,Great Kiskadee,pitangus-sulphuratus,,needs source,,,,,,,,,,,missing,
273,Couch's Kingbird,exact common name,Tyrannus couchii,Tyrannus couchii,Couch's Kingbird,tyrannus-couchii,,needs source,,,,,,,,,,,missing,
274,Cassin's Kingbird,exact common name,Tyrannus vociferans,Tyrannus vociferans,Cassin's Kingbird,tyrannus-vociferans,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Handbook_of_birds_of_the_western_United_States_BHL7575901.jpg
275,Bell's Vireo,exact common name,Vireo bellii,Vireo bellii,Bell's Vireo,vireo-bellii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_America_(Pl._485)_(8594234529).jpg
276,Plumbeous Vireo,exact common name,Vireo plumbeus,Vireo plumbeus,Plumbeous Vireo,vireo-plumbeus,,needs source,,,,,,,,,,,missing,
277,Blue-headed Vireo,exact common name,Vireo solitarius,Vireo solitarius,Blue-headed Vireo,vireo-solitarius,,needs source,,,,,,,,,,,missing,
278,Warbling Vireo,exact common name,Vireo gilvus,Vireo gilvus,Warbling Vireo,vireo-gilvus,,needs source,,,,,,,,,,,missing,
279,Philadelphia Vireo,exact common name,Vireo philadelphicus,Vireo philadelphicus,Philadelphia Vireo,vireo-philadelphicus,,needs source,,,,,,,,,,,missing,
280,Green Jay,exact common name,Cyanocorax yncas,Cyanocorax yncas,Green Jay,cyanocorax-yncas,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_1)_(6306529250).jpg"
281,American Crow,exact common name,Corvus brachyrhynchos,Corvus brachyrhynchos,American Crow,corvus-brachyrhynchos,,source downloaded - NOT a finished asset,156,American Crow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-crow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0156,unverified - check exact scan,not reviewed,sources/156.jpg,https://media.audubon.org/boa_illustration/plate-156-american-crow.jpg,d31c9699a66d28e79b1cd27aa4cbd015fcb838c4502f1059e1047988e204a377,present,https://commons.wikimedia.org/wiki/File:156_American_Crow.jpg
282,Fish Crow,exact common name,Corvus ossifragus,Corvus ossifragus,Fish Crow,corvus-ossifragus,,source downloaded - NOT a finished asset,146,Fish Crow,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/fish-crow,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0146,unverified - check exact scan,not reviewed,sources/146.jpg,https://media.audubon.org/boa_illustration/plate-146-fish-crow.jpg,1271972bf6cdf62d07f669a310585545ece377761a57e7f6c943343cc6749b82,present,https://commons.wikimedia.org/wiki/File:146_Fish_Crow.jpg
283,Chihuahuan Raven,exact common name,Corvus cryptoleucus,Corvus cryptoleucus,Chihuahuan Raven,corvus-cryptoleucus,,needs source,,,,,,,,,,,missing,
284,Horned Lark,exact common name,Eremophila alpestris,Eremophila alpestris,Horned Lark,eremophila-alpestris,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00139.jpg
285,Bank Swallow,exact common name,Riparia riparia,Riparia riparia,Bank Swallow,riparia-riparia,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIISand_Martin.jpg
286,Red-breasted Nuthatch,exact common name,Sitta canadensis,Sitta canadensis,Red-breasted Nuthatch,sitta-canadensis,,source downloaded - NOT a finished asset,105,Red-breasted Nuthatch,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-breasted-nuthatch,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0105,unverified - check exact scan,not reviewed,sources/105.jpg,https://media.audubon.org/boa_illustration/plate-105-red-breasted-nuthatch.jpg,dc44150c43117ad94b8c48399d44c90b8fbccb94d2b7200c7b781160cae8a7a0,present,https://commons.wikimedia.org/wiki/File:105_Red-breasted_Nuthatch.jpg
287,White-breasted Nuthatch,exact common name,Sitta carolinensis,Sitta carolinensis,White-breasted Nuthatch,sitta-carolinensis,,existing upstream,,,,,,,,,,,present,https://media.audubon.org/boa_illustration/plate-152-white-breasted-black-capped-nuthatch.jpg
288,Brown-headed Nuthatch,exact common name,Sitta pusilla,Sitta pusilla,Brown-headed Nuthatch,sitta-pusilla,,source downloaded - NOT a finished asset,125,Brown-headed Nuthatch,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/brown-headed-nuthatch,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0125,unverified - check exact scan,not reviewed,sources/125.jpg,https://media.audubon.org/boa_illustration/plate-125-brown-headed-nuthatch.jpg,18352c1a15ed8abe069f5f52450177a3c8a190ef5bf98aefacd8955db8200d24,missing,
289,Rock Wren,exact common name,Salpinctes obsoletus,Salpinctes obsoletus,Rock Wren,salpinctes-obsoletus,,needs source,,,,,,,,,,,missing,
290,Winter Wren,exact common name,Troglodytes hiemalis,Troglodytes hiemalis,Winter Wren,troglodytes-hiemalis,,needs source,,,,,,,,,,,missing,
291,Sedge Wren,exact common name,Cistothorus stellaris,Cistothorus stellaris,Sedge Wren,cistothorus-stellaris,,needs source,,,,,,,,,,,missing,
292,Marsh Wren,exact common name,Cistothorus palustris,Cistothorus palustris,Marsh Wren,cistothorus-palustris,,source downloaded - NOT a finished asset,100,Marsh Wren,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/marsh-wren,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0100,unverified - check exact scan,not reviewed,sources/100.jpg,https://media.audubon.org/boa_illustration/plate-100-marsh-wren.jpg,2d1a32e4cffce56d7ffcc372a6740519adde4f9e3589b273c16ac7e51527b3f1,missing,
293,Mountain Bluebird,exact common name,Sialia currucoides,Sialia currucoides,Mountain Bluebird,sialia-currucoides,,needs source,,,,,,,,,,,missing,
294,Veery,exact common name,Catharus fuscescens,Catharus fuscescens,Veery,catharus-fuscescens,,needs source,,,,,,,,,,,missing,
295,Gray-cheeked Thrush,exact common name,Catharus minimus,Catharus minimus,Gray-cheeked Thrush,catharus-minimus,,needs source,,,,,,,,,,,missing,
296,Swainson's Thrush,exact common name,Catharus ustulatus,Catharus ustulatus,Swainson's Thrush,catharus-ustulatus,,needs source,,,,,,,,,,,missing,
297,Hermit Thrush,exact common name,Catharus guttatus,Catharus guttatus,Hermit Thrush,catharus-guttatus,,source downloaded - NOT a finished asset,58,Hermit Thrush,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/hermit-thrush,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0058,unverified - check exact scan,not reviewed,sources/058.jpg,https://media.audubon.org/boa_illustration/plate-58-hermit-thrush.jpg,dcef4be604a646e4ff56774354dcd1b3d29647fdbc44ebe18220e7725b96d4bf,present,https://commons.wikimedia.org/wiki/File:58_Hermit_Thrush.jpg
298,Wood Thrush,exact common name,Hylocichla mustelina,Hylocichla mustelina,Wood Thrush,hylocichla-mustelina,,source downloaded - NOT a finished asset,73,Wood Thrush,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/wood-thrush,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0073,unverified - check exact scan,not reviewed,sources/073.jpg,https://media.audubon.org/boa_illustration/plate-73-wood-thrush.jpg,2591135179e2b8c39619e7b060639e897c9ab4922481ecd0720c22169dce871a,missing,
299,Varied Thrush,exact common name,Ixoreus naevius,Ixoreus naevius,Varied Thrush,ixoreus-naevius,,needs source,,,,,,,,,,,missing,
300,American Pipit,exact common name,Anthus rubescens,Anthus rubescens,American Pipit,anthus-rubescens,,needs source,,,,,,,,,,,missing,
301,Sprague's Pipit,exact common name,Anthus spragueii,Anthus spragueii,Sprague's Pipit,anthus-spragueii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_second_book_of_birds_(Pl._7)_(7105829785).jpg
302,Bohemian Waxwing,exact common name,Bombycilla garrulus,Bombycilla garrulus,Bohemian Waxwing,bombycilla-garrulus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_Europe_(1837)_(14565285848).jpg
303,Blue-winged Warbler,exact common name,Vermivora cyanoptera,Vermivora cyanoptera,Blue-winged Warbler,vermivora-cyanoptera,,source downloaded - NOT a finished asset,20,Blue-winged Yellow Warbler,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/blue-winged-yellow-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0020,unverified - check exact scan,not reviewed,sources/020.jpg,https://media.audubon.org/boa_illustration/plate-20-blue-winged-yellow-warbler.jpg,6226b72b250c80c5215275b870a22662b5d3c60ef8aa1d37b84765be63139220,missing,
304,Golden-winged Warbler,exact common name,Vermivora chrysoptera,Vermivora chrysoptera,Golden-winged Warbler,vermivora-chrysoptera,,needs source,,,,,,,,,,,missing,
305,Tennessee Warbler,exact common name,Leiothlypis peregrina,Leiothlypis peregrina,Tennessee Warbler,leiothlypis-peregrina,,source downloaded - NOT a finished asset,154,Tennessee Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/tennessee-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0154,unverified - check exact scan,not reviewed,sources/154.jpg,https://media.audubon.org/boa_illustration/plate-154-tennessee-warbler.jpg,0ea9981ce7f39a23fcc1e7cc6b77485c080cce20e07c40826860b1b634b9442f,missing,
306,Nashville Warbler,exact common name,Leiothlypis ruficapilla,Leiothlypis ruficapilla,Nashville Warbler,leiothlypis-ruficapilla,,source downloaded - NOT a finished asset,89,Nashville Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/nashville-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0089,unverified - check exact scan,not reviewed,sources/089.jpg,https://media.audubon.org/boa_illustration/plate-89-nashville-warbler.jpg,db24c57219fc09e71969c3bbe8498b30b6b0102089d8501ce6b12095cb9015f8,missing,
307,Chestnut-sided Warbler,exact common name,Setophaga pensylvanica,Setophaga pensylvanica,Chestnut-sided Warbler,setophaga-pensylvanica,,source downloaded - NOT a finished asset,59,Chestnut-sided Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/chestnut-sided-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0059,unverified - check exact scan,not reviewed,sources/059.jpg,https://media.audubon.org/boa_illustration/plate-59-chestnut-sided-warbler.jpg,397d24ff0ace834107e53126375e6c919ab635f7228618d50f9944d03a7a4a50,present,https://commons.wikimedia.org/wiki/File:59_Chestnut-sided_Warbler.jpg
308,Magnolia Warbler,exact common name,Setophaga magnolia,Setophaga magnolia,Magnolia Warbler,setophaga-magnolia,,needs source,,,,,,,,,,,missing,
309,Cape May Warbler,exact common name,Setophaga tigrina,Setophaga tigrina,Cape May Warbler,setophaga-tigrina,,needs source,,,,,,,,,,,missing,
310,Black-throated Blue Warbler,exact common name,Setophaga caerulescens,Setophaga caerulescens,Black-throated Blue Warbler,setophaga-caerulescens,,source downloaded - NOT a finished asset,155,Black-throated Blue Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-throated-blue-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0155,unverified - check exact scan,not reviewed,sources/155.jpg,https://media.audubon.org/boa_illustration/plate-155-black-throated-blue-warbler.jpg,0051b122f14636961b971e2b08879642f32cfe6dc0e6851ac160636f8923a73a,missing,
311,Black-throated Gray Warbler,exact common name,Setophaga nigrescens,Setophaga nigrescens,Black-throated Gray Warbler,setophaga-nigrescens,,needs source,,,,,,,,,,,missing,
312,Golden-cheeked Warbler,exact common name,Setophaga chrysoparia,Setophaga chrysoparia,Golden-cheeked Warbler,setophaga-chrysoparia,,needs source,,,,,,,,,,,missing,
313,Black-throated Green Warbler,exact common name,Setophaga virens,Setophaga virens,Black-throated Green Warbler,setophaga-virens,,needs source,,,,,,,,,,,missing,
314,Townsend's Warbler,exact common name,Setophaga townsendi,Setophaga townsendi,Townsend's Warbler,setophaga-townsendi,,needs source,,,,,,,,,,,missing,
315,Blackburnian Warbler,exact common name,Setophaga fusca,Setophaga fusca,Blackburnian Warbler,setophaga-fusca,,source downloaded - NOT a finished asset,135,Blackburnian Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/blackburnian-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0135,unverified - check exact scan,not reviewed,sources/135.jpg,https://media.audubon.org/boa_illustration/plate-135-blackburnian-warbler.jpg,11a4c7f29a460a3c931c614092abe305a9ba282034df450d4e89c202e71c0a01,present,https://commons.wikimedia.org/wiki/File:135_Blackburnian_Warbler.jpg
316,Prairie Warbler,exact common name,Setophaga discolor,Setophaga discolor,Prairie Warbler,setophaga-discolor,,source downloaded - NOT a finished asset,14,Prairie Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/prairie-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0014,unverified - check exact scan,not reviewed,sources/014.jpg,https://media.audubon.org/boa_illustration/plate-14-prairie-warbler.jpg,5cec7bda403c6a1feb29da35d27242b1f4d346f05c436bbea296d57dc6a69275,present,https://commons.wikimedia.org/wiki/File:14_Prairie_Warbler.jpg
317,Palm Warbler,exact common name,Setophaga palmarum,Setophaga palmarum,Palm Warbler,setophaga-palmarum,,source downloaded - NOT a finished asset,163,Palm Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/palm-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0163,unverified - check exact scan,not reviewed,sources/163.jpg,https://media.audubon.org/boa_illustration/plate-163-palm-warbler.jpg,f923e819ac4443ccba2bd450c55b2d5a0e777910565f9aebc4e5c766f40adcc2,missing,
318,Bay-breasted Warbler,exact common name,Setophaga castanea,Setophaga castanea,Bay-breasted Warbler,setophaga-castanea,,source downloaded - NOT a finished asset,69,Bay-breasted Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/bay-breasted-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0069,unverified - check exact scan,not reviewed,sources/069.jpg,https://media.audubon.org/boa_illustration/plate-69-bay-breasted-warbler.jpg,3948a97cf8cba39cb8f50fcdbbfbd4deb077eaa14e79e031b45e18cb96fd30c7,missing,
319,Blackpoll Warbler,exact common name,Setophaga striata,Setophaga striata,Blackpoll Warbler,setophaga-striata,,source downloaded - NOT a finished asset,133,Black-poll Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-poll-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0133,unverified - check exact scan,not reviewed,sources/133.jpg,https://media.audubon.org/boa_illustration/plate-133-black-poll-warbler.jpg,ab7f0d6759938717f592e08b921b73bdea42514cab7364ee04ccf8107ecbe6bd,missing,
320,Cerulean Warbler,exact common name,Setophaga cerulea,Setophaga cerulea,Cerulean Warbler,setophaga-cerulea,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:49_Blue-green_Warbler.jpg
321,Prothonotary Warbler,exact common name,Protonotaria citrea,Protonotaria citrea,Prothonotary Warbler,protonotaria-citrea,,source downloaded - NOT a finished asset,3,Prothonotary Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/prothonotary-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0003,unverified - check exact scan,not reviewed,sources/003.jpg,https://media.audubon.org/boa_illustration/plate-3-prothonotary-warbler.jpg,50a6847fdd91e49583447e321e1c7abfb47e9f60433272017a0b0bc15c893327,missing,
322,Worm-eating Warbler,exact common name,Helmitheros vermivorum,Helmitheros vermivorum,Worm-eating Warbler,helmitheros-vermivorum,,source downloaded - NOT a finished asset,34,Worm eating Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/worm-eating-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0034,unverified - check exact scan,not reviewed,sources/034.jpg,https://media.audubon.org/boa_illustration/plate-34-worm-eating-warbler.jpg,516699f9e081826f08b2094987d95be85c1982cc1202dedae37ef1761a78b4ea,missing,
323,Swainson's Warbler,exact common name,Limnothlypis swainsonii,Limnothlypis swainsonii,Swainson's Warbler,limnothlypis-swainsonii,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:198_Brown_headed_Worm_eating_Warbler.jpg
324,Ovenbird,exact common name,Seiurus aurocapilla,Seiurus aurocapilla,Ovenbird,seiurus-aurocapilla,,needs source,,,,,,,,,,,missing,
325,Northern Waterthrush,exact common name,Parkesia noveboracensis,Parkesia noveboracensis,Northern Waterthrush,parkesia-noveboracensis,,needs source,,,,,,,,,,,missing,
326,Louisiana Waterthrush,exact common name,Parkesia motacilla,Parkesia motacilla,Louisiana Waterthrush,parkesia-motacilla,,source downloaded - NOT a finished asset,19,Louisiana Water Thrush,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/louisiana-water-thrush,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0019,unverified - check exact scan,not reviewed,sources/019.jpg,https://media.audubon.org/boa_illustration/plate-19-louisiana-water-thrush.jpg,36d526acf80de354ddbb02119772a30e8f403b1ca8b43b2de540be09903389eb,missing,
327,Kentucky Warbler,exact common name,Geothlypis formosa,Geothlypis formosa,Kentucky Warbler,geothlypis-formosa,,source downloaded - NOT a finished asset,38,Kentucky Warbler,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/kentucky-warbler,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0038,unverified - check exact scan,not reviewed,sources/038.jpg,https://media.audubon.org/boa_illustration/plate-38-kentucky-warbler.jpg,15ca34b0bd81ddfdce4c99417b793f78425bdeb67d3ae4221875c2c0112e7b35,missing,
